backend,executor,solver-p,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,none,0,8,1,0.111048,1
OF,reference,CG,none,0,8,1,0.114944,1
OF,reference,CG,none,0,8,1,0.110836,1
OF,reference,CG,none,0,8,1,0.112896,1
OF,reference,CG,none,0,8,1,0.113358,1
OF,reference,CG,none,0,8,1,0.112206,1
OF,reference,CG,none,0,8,1,0.113219,1
OF,reference,CG,none,0,8,1,0.113113,1
OF,reference,CG,none,0,8,1,0.113311,1
OF,reference,CG,none,0,8,1,0.111381,1
OF,reference,CG,none,0,8,1,0.112873,1
OF,reference,CG,none,0,8,1,0.112505,1
OF,reference,CG,none,0,8,1,0.113148,1
OF,reference,CG,none,0,8,1,0.114016,1
OF,reference,CG,none,0,8,1,0.118105,1
OF,reference,CG,none,0,8,1,0.118994,1
OF,reference,CG,none,0,8,1,0.114951,1
OF,reference,CG,none,0,8,1,0.112219,1
OF,reference,CG,none,0,8,1,0.111416,1
OF,reference,CG,none,0,8,1,0.115498,1
OF,reference,CG,none,0,8,1,0.116208,1
OF,reference,CG,none,0,8,1,0.112901,1
OF,reference,CG,none,0,8,1,0.112676,1
OF,reference,CG,none,0,8,1,0.113503,1
OF,reference,CG,none,0,8,1,0.113162,1
OF,reference,CG,none,0,8,1,0.111975,1
OF,reference,CG,none,0,8,1,0.11433,1
OF,reference,CG,none,0,8,1,0.112429,1
OF,reference,CG,none,0,8,1,0.112776,1
OF,reference,CG,none,0,8,1,0.112602,1
OF,reference,CG,none,0,8,1,0.112802,1
OF,reference,CG,none,0,8,1,0.111737,1
OF,reference,CG,none,0,8,1,0.112349,1
OF,reference,CG,none,0,8,1,0.113681,1
OF,reference,CG,none,0,8,1,0.114282,1
OF,reference,CG,none,0,8,1,0.112517,1
OF,reference,CG,none,0,8,1,0.113253,1
OF,reference,CG,none,0,8,1,0.112719,1
OF,reference,CG,none,0,8,1,0.114607,1
OF,reference,CG,none,0,8,1,0.11579,1
OF,reference,CG,none,0,8,1,0.112056,1
OF,reference,CG,none,0,8,1,0.117457,1
OF,reference,CG,none,0,8,1,0.111135,1
OF,reference,CG,none,0,8,1,0.111836,1
OF,reference,CG,none,0,8,1,0.114043,1
OF,reference,CG,none,0,8,1,0.112052,1
OF,reference,CG,none,0,8,1,0.117802,1
OF,reference,CG,none,0,8,1,0.119748,1
OF,reference,CG,none,0,8,1,0.116678,1
OF,reference,CG,none,0,8,1,0.11161,1
OF,reference,CG,none,0,8,1,0.111782,1
OF,reference,CG,none,0,8,1,0.115705,1
OF,reference,CG,none,0,8,1,0.113539,1
OF,reference,CG,none,0,8,1,0.11411,1
OF,reference,CG,none,0,8,1,0.11442,1
OF,reference,CG,none,0,8,1,0.112934,1
OF,reference,CG,none,0,8,1,0.110882,1
OF,reference,CG,none,0,8,1,0.115409,1
OF,reference,CG,none,0,8,1,0.113537,1
OF,reference,CG,none,0,8,1,0.114601,1
OF,reference,CG,none,0,8,1,0.112794,1
OF,reference,CG,none,0,8,1,0.112716,1
OF,reference,CG,none,0,8,1,0.111683,1
OF,reference,CG,none,0,8,1,0.112092,1
OF,reference,CG,none,0,8,1,0.114535,1
OF,reference,CG,none,0,8,1,0.114031,1
OF,reference,CG,none,0,8,1,0.113416,1
OF,reference,CG,none,0,8,1,0.113592,1
OF,reference,CG,none,0,8,1,0.11314,1
OF,reference,CG,none,0,8,1,0.112422,1
OF,reference,CG,none,0,8,1,0.111911,1
OF,reference,CG,none,0,8,1,0.1132,1
OF,reference,CG,none,0,8,1,0.112577,1
OF,reference,CG,none,0,8,1,0.115881,1
OF,reference,CG,none,0,8,1,0.113262,1
OF,reference,CG,none,0,8,1,0.113824,1
OF,reference,CG,none,0,8,1,0.112109,1
OF,reference,CG,none,0,8,1,0.113091,1
OF,reference,CG,none,0,8,1,0.121981,1
OF,reference,CG,none,0,8,1,0.119851,1
OF,reference,CG,none,0,8,1,0.11414,1
OF,reference,CG,none,0,8,1,0.112948,1
OF,reference,CG,none,0,8,1,0.113527,1
OF,reference,CG,none,0,8,1,0.11344,1
OF,reference,CG,none,0,8,1,0.114745,1
OF,reference,CG,none,0,8,1,0.116214,1
OF,reference,CG,none,0,8,1,0.110135,1
OF,reference,CG,none,0,8,1,0.113323,1
OF,reference,CG,none,0,8,1,0.111358,1
OF,reference,CG,none,0,8,1,0.112359,1
OF,reference,CG,none,0,8,1,0.113094,1
OF,reference,CG,none,0,8,1,0.1113,1
OF,reference,CG,none,0,8,1,0.112173,1
OF,reference,CG,none,0,8,1,0.111771,1
OF,reference,CG,none,0,8,1,0.112446,1
OF,reference,CG,none,0,8,1,0.113927,1
OF,reference,CG,none,0,8,1,0.112626,1
OF,reference,CG,none,0,8,1,0.116279,1
OF,reference,CG,none,0,8,1,0.109747,1
OF,reference,CG,none,0,8,1,0.112529,1
OF,reference,CG,none,0,8,1,0.112425,1
OF,reference,CG,none,0,8,1,0.114362,1
OF,reference,CG,none,0,8,1,0.114795,1
OF,reference,CG,none,0,8,1,0.111749,1
OF,reference,CG,none,0,8,1,0.113554,1
OF,reference,CG,none,0,8,1,0.113358,1
OF,reference,CG,none,0,8,1,0.111233,1
OF,reference,CG,none,0,8,1,0.115169,1
OF,reference,CG,none,0,8,1,0.114022,1
OF,reference,CG,none,0,8,1,0.110465,1
OF,reference,CG,none,0,8,1,0.11955,1
OF,reference,CG,none,0,8,1,0.120104,1
OF,reference,CG,none,0,8,1,0.11364,1
OF,reference,CG,none,0,8,1,0.113323,1
OF,reference,CG,none,0,8,1,0.111596,1
OF,reference,CG,none,0,8,1,0.115556,1
OF,reference,CG,none,0,8,1,0.110691,1
OF,reference,CG,none,0,8,1,0.111926,1
OF,reference,CG,none,0,8,1,0.111566,1
OF,reference,CG,none,0,8,1,0.113231,1
OF,reference,CG,none,0,8,1,0.11273,1
OF,reference,CG,none,0,8,1,0.113294,1
OF,reference,CG,none,0,8,1,0.112957,1
OF,reference,CG,none,0,8,1,0.114627,1
OF,reference,CG,none,0,8,1,0.111573,1
OF,reference,CG,none,0,8,1,0.110953,1
OF,reference,CG,none,0,8,1,0.116082,1
OF,reference,CG,none,0,8,1,0.113484,1
OF,reference,CG,none,0,8,1,0.113674,1
OF,reference,CG,none,0,8,1,0.112648,1
OF,reference,CG,none,0,8,1,0.110421,1
OF,reference,CG,none,0,8,1,0.116277,1
OF,reference,CG,none,0,8,1,0.114394,1
OF,reference,CG,none,0,8,1,0.114595,1
OF,reference,CG,none,0,8,1,0.113376,1
OF,reference,CG,none,0,8,1,0.113921,1
OF,reference,CG,none,0,8,1,0.113895,1
OF,reference,CG,none,0,8,1,0.113278,1
OF,reference,CG,none,0,8,1,0.111685,1
OF,reference,CG,none,0,8,1,0.111916,1
OF,reference,CG,none,0,8,1,0.112618,1
OF,reference,CG,none,0,8,1,0.112464,1
OF,reference,CG,none,0,8,1,0.118228,1
