backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,BiCGStab,none,0,8,1,0.112477,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11403,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121116,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120125,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116613,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114068,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112456,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111793,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111607,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120086,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117649,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113172,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115414,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111188,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11334,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115045,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111945,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115495,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11355,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117825,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119763,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119121,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11789,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115244,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113396,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119794,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118815,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114984,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113486,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119568,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121041,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115628,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113047,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112822,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116856,1
OF,reference,CG,BiCGStab,none,0,8,1,0.123317,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114724,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11274,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11224,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111772,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114678,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121053,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119977,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113995,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114465,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113813,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114128,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113934,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113242,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112942,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116537,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11897,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118052,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120631,1
