executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n377.localdomain\n', 'top': ['top - 16:23:13 up 57 days, 20:29,  0 users,  load average: 11.67, 23.48, 27.06', 'Tasks: 1170 total,   6 running, 1164 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  5.7 us,  0.7 sy,  0.0 ni, 93.5 id,  0.0 wa,  0.1 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  81683.2 free,   8557.8 used,   6077.6 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  86873.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1736065 tu_psid+  20   0  385576  97324   7236 R 100.0   0.1  75:53.04 python', '1735701 tu_psid+  20   0  353324  65472   7164 R  94.1   0.1  78:50.45 python', '1736009 tu_psid+  20   0  385584  97484   7224 R  94.1   0.1  76:19.79 python', '1736083 tu_psid+  20   0  385580  97236   6988 R  94.1   0.1  75:40.68 python', '1736162 tu_psid+  20   0  385580  97484   7224 R  94.1   0.1  75:01.62 python', '1750828 nq7776    20   0   56900   5560   3580 R  11.8   0.0   0:00.03 top', '      1 root      20   0  253340   7940   4492 S   0.0   0.0  13:54.36 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   1:20.29 kthreadd'], 'uptime': ' 16:23:13 up 57 days, 20:29,  0 users,  load average: 11.67, 23.48, 27.06\n', 'libOGL.so': '089d390e214ef084611b0ef5270cce11  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
Serial,CG,DIC,0,1,0,uc2n377.localdomain,1,8d576af3e0d34a5f9e69456c37c81b84,0.247428,0.376462,218.0,58.0,1356.0,11332.0,5959.0,36909.0
Serial,CG,NoPrecond,0,1,0,uc2n377.localdomain,1,3134d5e6181154cb93acc937214315d0,0.287053,0.843446,5625.0,54.0,1393.0,11075.0,51383.0,469892.0
Serial,GAMG,NoPrecond,0,1,0,uc2n377.localdomain,1,75415cdba136ec4cb34ba20c83a10166,0.243118,0.37335,44.0,56.0,1336.0,11167.0,6187.0,34977.0
Serial,CG,DIC,2,1,0,uc2n377.localdomain,1,b730fd251c3b7d76eb35f515d2338348,1.925335,8.296131,1336.0,72.0,23389.0,205903.0,345860.0,4328140.0
Serial,CG,NoPrecond,2,1,0,uc2n377.localdomain,1,f5b2c41f7f767a79e395c418221b1331,4.343909,38.094169,15848.0,72.0,23745.0,210298.0,2709269.0,29703740.0
Serial,GAMG,NoPrecond,2,1,0,uc2n377.localdomain,1,d77b206dfce042beeffa83902676f61a,1.561316,4.033983,50.0,72.0,23743.0,208889.0,66500.0,609044.0
Serial,CG,DIC,3,1,0,uc2n377.localdomain,1,c4c7119589b2c102dbd99963d70660c0,10.299677,58.901305,2238.0,72.0,118914.0,1065662.0,3959974.0,38529268.0
Serial,CG,NoPrecond,3,1,0,uc2n377.localdomain,1,309092d6f5a1737528191409a62c97a5,35.210729,294.779863,26005.0,72.0,118434.0,1049876.0,28897837.0,250107295.0
Serial,GAMG,NoPrecond,3,1,0,uc2n377.localdomain,1,4b77196c5512049591e01b334465048d,7.151637,21.758854,94.0,72.0,118664.0,1059253.0,695047.0,5583532.0
Serial,CG,DIC,1,1,0,uc2n377.localdomain,1,c5796137bdfcf8ff0d3b6ad2b85f64e0,0.520623,1.527203,903.0,72.0,4809.0,41564.0,33480.0,565802.0
Serial,CG,NoPrecond,1,1,0,uc2n377.localdomain,1,fc0f1dafb137097c4833bfeb6558bdd7,0.749198,4.402142,8562.0,72.0,4646.0,40236.0,252824.0,3117096.0
Serial,GAMG,NoPrecond,1,1,0,uc2n377.localdomain,1,e772a08c0f619ae624fb91030f6f0815,0.516999,0.954566,31.0,72.0,4784.0,41340.0,12528.0,92376.0
