backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,8,1,0.118457,1,614
OF,reference,CG,none,8,1,0.12015,1,614
OF,reference,CG,none,8,1,0.119026,1,614
OF,reference,CG,none,8,1,0.11582,1,614
OF,reference,CG,none,8,1,0.11621,1,614
OF,reference,CG,none,8,1,0.11903,1,614
OF,reference,CG,none,8,1,0.116538,1,614
OF,reference,CG,none,8,1,0.128578,1,614
OF,reference,CG,none,8,1,0.121525,1,614
OF,reference,CG,none,8,1,0.121935,1,614
OF,reference,CG,none,8,1,0.116879,1,614
OF,reference,CG,none,8,1,0.114587,1,614
OF,reference,CG,none,8,1,0.112177,1,614
OF,reference,CG,none,8,1,0.111424,1,614
OF,reference,CG,none,8,1,0.122603,1,614
OF,reference,CG,none,8,1,0.119605,1,614
OF,reference,CG,none,8,1,0.117995,1,614
OF,reference,CG,none,8,1,0.138982,1,614
OF,reference,CG,none,8,1,0.120728,1,614
OF,reference,CG,none,8,1,0.114435,1,614
OF,reference,CG,none,8,1,0.125992,1,614
OF,reference,CG,none,8,1,0.118777,1,614
OF,reference,CG,none,8,1,0.118957,1,614
OF,reference,CG,none,8,1,0.122295,1,614
OF,reference,CG,none,8,1,0.116846,1,614
OF,reference,CG,none,8,1,0.117332,1,614
OF,reference,CG,none,8,1,0.117009,1,614
OF,reference,CG,none,8,1,0.126083,1,614
OF,reference,CG,none,8,1,0.118387,1,614
OF,reference,CG,none,8,1,0.122455,1,614
OF,reference,CG,none,8,1,0.119558,1,614
OF,reference,CG,none,8,1,0.118988,1,614
OF,reference,CG,none,8,1,0.11553,1,614
OF,reference,CG,none,8,1,0.119048,1,614
OF,reference,CG,none,8,1,0.119274,1,614
OF,reference,CG,none,8,1,0.118937,1,614
OF,reference,CG,none,8,1,0.119883,1,614
OF,reference,CG,none,8,1,0.116837,1,614
OF,reference,CG,none,8,1,0.116944,1,614
OF,reference,CG,none,8,1,0.121168,1,614
OF,reference,CG,none,8,1,0.11669,1,614
OF,reference,CG,none,8,1,0.119876,1,614
OF,reference,CG,none,8,1,0.119699,1,614
OF,reference,CG,none,8,1,0.114002,1,614
OF,reference,CG,none,8,1,0.112522,1,614
OF,reference,CG,none,8,1,0.124204,1,614
OF,reference,CG,none,8,1,0.118518,1,614
OF,reference,CG,none,8,1,0.117749,1,614
