backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,BiCGStab,none,8,1,0.14814,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130129,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126551,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133228,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131641,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129843,1,614
OF,reference,CG,BiCGStab,none,8,1,0.123882,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126868,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126201,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125503,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126242,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125013,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126444,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127262,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127363,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132499,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126521,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125965,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128924,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126424,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128794,1,614
OF,reference,CG,BiCGStab,none,8,1,0.12536,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128002,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126343,1,614
OF,reference,CG,BiCGStab,none,8,1,0.124332,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126465,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130757,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129733,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128654,1,614
OF,reference,CG,BiCGStab,none,8,1,0.124271,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126904,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13127,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126147,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125989,1,614
OF,reference,CG,BiCGStab,none,8,1,0.123421,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128735,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130731,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129312,1,614
OF,reference,CG,BiCGStab,none,8,1,0.12662,1,614
OF,reference,CG,BiCGStab,none,8,1,0.1295,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128487,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126246,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125796,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126762,1,614
OF,reference,CG,BiCGStab,none,8,1,0.123144,1,614
OF,reference,CG,BiCGStab,none,8,1,0.122775,1,614
OF,reference,CG,BiCGStab,none,8,1,0.12724,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129345,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128345,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127887,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125073,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127175,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127268,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125655,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125989,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125595,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125893,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130127,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126952,1,614
OF,reference,CG,BiCGStab,none,8,1,0.12551,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126981,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125735,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126747,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129995,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126807,1,614
OF,reference,CG,BiCGStab,none,8,1,0.12941,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128951,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129405,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131998,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127245,1,614
OF,reference,CG,BiCGStab,none,8,1,0.123458,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127702,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127168,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127096,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126125,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125339,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125459,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126245,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128426,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131894,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128832,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126568,1,614
OF,reference,CG,BiCGStab,none,8,1,0.12558,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125265,1,614
