backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.569859,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.568025,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.569893,1664,30.0,10.0
OF,mpi,CG,none,25,1,c496094e39bdfe37a413ce577611f6e1,0.260117,0.570006,1664,30.0,10.0
backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'uptime': ' 17:58:02 up 13 days,  6:36,  1 user,  load average: 0.06, 0.07, 0.02\n'}}
backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations,linear_solve_p,linear_solve_u
#{'OBR_VERSION': '0.0.3', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'uptime': ' 17:58:52 up 13 days,  6:37,  1 user,  load average: 0.02, 0.06, 0.02\n'}}
OF,mpi,CG,none,25,1,d6f195e39b9f4c34b2acf75532f5a6bc,0.148789,10.746975,8324,14.0,10.0
OF,mpi,CG,none,25,1,d6f195e39b9f4c34b2acf75532f5a6bc,0.148789,10.976123,8324,14.0,10.0
OF,mpi,CG,none,25,1,d6f195e39b9f4c34b2acf75532f5a6bc,0.148789,10.571359,8324,14.0,10.0
OF,mpi,CG,none,25,1,d6f195e39b9f4c34b2acf75532f5a6bc,0.148789,10.959969,8324,14.0,10.0
OF,mpi,CG,none,25,1,d6f195e39b9f4c34b2acf75532f5a6bc,0.148789,10.859914,8324,14.0,10.0
OF,mpi,CG,none,25,1,d6f195e39b9f4c34b2acf75532f5a6bc,0.148789,10.658743,8324,14.0,10.0
OF,mpi,BiCGStab,none,25,1,a01fa5d19816ef38dd4cef13bd2a5ea2,0.147993,10.633462,0,14.0,10.0
OF,mpi,BiCGStab,none,25,1,a01fa5d19816ef38dd4cef13bd2a5ea2,0.147993,10.650267,0,14.0,10.0
OF,mpi,BiCGStab,none,25,1,a01fa5d19816ef38dd4cef13bd2a5ea2,0.147993,10.599548,0,14.0,10.0
OF,mpi,BiCGStab,none,25,1,a01fa5d19816ef38dd4cef13bd2a5ea2,0.147993,10.572798,0,14.0,10.0
OF,mpi,BiCGStab,none,25,1,a01fa5d19816ef38dd4cef13bd2a5ea2,0.147993,10.522227,0,14.0,10.0
OF,mpi,BiCGStab,none,25,1,a01fa5d19816ef38dd4cef13bd2a5ea2,0.147993,10.676803,0,14.0,10.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.847951,3442,543.0,91.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.659834,3442,543.0,91.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.693111,3442,543.0,91.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.740458,3442,543.0,91.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.684915,3442,543.0,91.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.656316,3442,543.0,91.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.720952,3442,543.0,91.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.723984,3442,543.0,91.0
OF,mpi,CG,none,50,1,1521091377c124c4c2273a03a28e2ba8,1.833324,6.727316,3442,543.0,91.0
OF,mpi,BiCGStab,none,50,1,5a8acd661d6c9175f2321157ac07fb29,2.878469,10.48177,2819,906.0,92.0
OF,mpi,BiCGStab,none,50,1,5a8acd661d6c9175f2321157ac07fb29,2.878469,10.329492,2819,906.0,92.0
OF,mpi,BiCGStab,none,50,1,5a8acd661d6c9175f2321157ac07fb29,2.878469,10.367683,2819,906.0,92.0
OF,mpi,BiCGStab,none,50,1,5a8acd661d6c9175f2321157ac07fb29,2.878469,10.351062,2819,906.0,92.0
OF,mpi,BiCGStab,none,50,1,5a8acd661d6c9175f2321157ac07fb29,2.878469,10.353876,2819,906.0,92.0
OF,mpi,BiCGStab,none,50,1,5a8acd661d6c9175f2321157ac07fb29,2.878469,10.354313,2819,906.0,92.0
OF,mpi,CG,none,75,1,b53aea5cf96ad7b72fe843f751ed24b5,8.337178,34.256849,5245,2965.0,327.0
OF,mpi,CG,none,75,1,b53aea5cf96ad7b72fe843f751ed24b5,8.337178,34.307367,5245,2965.0,327.0
OF,mpi,CG,none,75,1,b53aea5cf96ad7b72fe843f751ed24b5,8.337178,34.072059,5245,2965.0,327.0
OF,mpi,CG,none,75,1,b53aea5cf96ad7b72fe843f751ed24b5,8.337178,34.131143,5245,2965.0,327.0
OF,mpi,CG,none,75,1,b53aea5cf96ad7b72fe843f751ed24b5,8.337178,34.409712,5245,2965.0,327.0
OF,mpi,BiCGStab,none,75,1,d74d4d73c43e113cbb1e7826f56c9634,12.820003,58.594034,4381,4914.0,329.0
OF,mpi,BiCGStab,none,75,1,d74d4d73c43e113cbb1e7826f56c9634,12.820003,58.778163,4381,4914.0,329.0
OF,mpi,BiCGStab,none,75,1,d74d4d73c43e113cbb1e7826f56c9634,12.820003,58.929827,4381,4914.0,329.0
OF,mpi,BiCGStab,none,75,1,d74d4d73c43e113cbb1e7826f56c9634,12.820003,58.748488,4381,4914.0,329.0
OF,mpi,BiCGStab,none,75,1,d74d4d73c43e113cbb1e7826f56c9634,12.820003,58.868003,4381,4914.0,329.0
OF,mpi,CG,none,100,1,94875d6eab5e97175fc907beef206d06,27.422174,120.348775,7075,10960.0,814.0
OF,mpi,CG,none,100,1,94875d6eab5e97175fc907beef206d06,27.422174,120.383131,7075,10960.0,814.0
OF,mpi,CG,none,100,1,94875d6eab5e97175fc907beef206d06,27.422174,120.020678,7075,10960.0,814.0
OF,mpi,CG,none,100,1,94875d6eab5e97175fc907beef206d06,27.422174,119.871784,7075,10960.0,814.0
OF,mpi,CG,none,100,1,94875d6eab5e97175fc907beef206d06,27.422174,119.961451,7075,10960.0,814.0
OF,mpi,BiCGStab,none,100,1,874f6d0c1953ee19f45071531c58c9c5,41.48221,196.625183,5903,23903.0,814.0
OF,mpi,BiCGStab,none,100,1,874f6d0c1953ee19f45071531c58c9c5,41.48221,196.228528,5903,23903.0,814.0
OF,mpi,BiCGStab,none,100,1,874f6d0c1953ee19f45071531c58c9c5,41.48221,197.210636,5903,23903.0,814.0
OF,mpi,BiCGStab,none,100,1,874f6d0c1953ee19f45071531c58c9c5,41.48221,196.538501,5903,23903.0,814.0
OF,mpi,BiCGStab,none,100,1,874f6d0c1953ee19f45071531c58c9c5,41.48221,196.176667,5903,23903.0,814.0
