executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n489.localdomain\n', 'top': ['top - 21:15:33 up 40 days,  1:15,  0 users,  load average: 2.01, 2.00, 2.00', 'Tasks: 1242 total,   3 running, 1239 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  2.4 us,  0.3 sy,  0.0 ni, 97.2 id,  0.0 wa,  0.1 hi,  0.0 si,  0.0 st', 'MiB Mem : 386622.4 total, 316963.8 free,  54702.0 used,  14956.6 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 329641.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3117591 hd_hg453  20   0   39.2g  19.9g 102988 R  94.1   5.3 370:12.71 python3', '4140039 em8656    20   0   42.9g   5.5g 118476 R  94.1   1.4  45:02.63 python3', '  46430 nq7776    20   0   56900   5620   3640 R  11.8   0.0   0:00.03 top', '      1 root      20   0  245388  12172   8592 S   0.0   0.0   0:20.18 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:40.52 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 21:15:33 up 40 days,  1:15,  0 users,  load average: 2.01, 2.00, 2.00\n', 'libOGL.so': '3f9ccb7c3ed085f4372678450d510bb0  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,70,1,0,uc2n489.localdomain,b1df6f4f66f3fa83f085af94d44b0961,6.903693,21.369704,4130.0,135.0,365043.0,4584271.0,3046555.0,12829380.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,70,1,0,uc2n489.localdomain,4172a3c1de7f96c11f28f2335b251cba,7.084255,20.060118,6521.0,135.0,357410.0,4791875.0,3036010.0,11902638.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,70,1,0,uc2n489.localdomain,90dbbba8db9bbb56bacb377471977eee,6.821649,18.824619,38.0,135.0,359486.0,4598213.0,3128363.0,10758820.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,70,1,0,uc2n489.localdomain,caffb4a73de659b6785cc1842c4ec14a,7.512921,21.852251,4032.0,135.0,360408.0,4627252.0,3034226.0,13422164.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,100,1,0,uc2n489.localdomain,62e38ab5e4368fcf45994e9d37d80602,19.494718,63.222517,9287.0,135.0,1099365.0,13350264.0,9780207.0,38438285.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,100,1,0,uc2n489.localdomain,f2ed6c8d56f96659888733b4288f7ae0,18.795923,93.577109,12250.0,135.0,1104510.0,12590441.0,9986885.0,57930229.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,100,1,0,uc2n489.localdomain,73c8cc058ca08205e935b67d5e3834ce,19.414899,62.688379,11035.0,135.0,1102248.0,13171720.0,9680939.0,38658602.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,100,1,0,uc2n489.localdomain,04d1cb70af6a9bd7d6607b2825d640dd,18.576368,58.545926,30.0,135.0,1091886.0,12689086.0,9397772.0,33241877.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,100,1,0,uc2n489.localdomain,163afa17e15496ff8f06b2be759ec605,18.854563,69.650496,6664.0,135.0,1096899.0,12561101.0,9645752.0,43749526.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,80,1,0,uc2n489.localdomain,5aabd196d92c1c0412eea465d6849db6,10.154382,29.742955,6358.0,135.0,548196.0,6886937.0,4598104.0,17954717.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,80,1,0,uc2n489.localdomain,c875ea81e941cc98db739cf3f0c67b54,9.938813,39.373532,5454.0,135.0,562532.0,6904517.0,4646885.0,22086562.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,80,1,0,uc2n489.localdomain,51fbfd7ed318dbc6fc65796697352343,10.111803,30.211863,7810.0,135.0,539210.0,6848647.0,4543754.0,18261443.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,80,1,0,uc2n489.localdomain,54bf19ef4f30921a5d47a1cf302fef67,9.69908,27.512329,39.0,135.0,532064.0,6520829.0,4471693.0,16053396.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,80,1,0,uc2n489.localdomain,24549cb09ccce3a756beee438b13a708,9.768297,34.421321,4571.0,135.0,536924.0,6535734.0,4519850.0,19971850.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,85,1,0,uc2n489.localdomain,78fe3c432a3947f64ec0665d9da8ef3c,12.429916,39.006133,7659.0,135.0,682926.0,8901639.0,5638926.0,23445579.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,85,1,0,uc2n489.localdomain,d07fe6e96b44068d80ef72c9f371a511,11.939475,48.013322,11484.0,135.0,653801.0,7906020.0,5524310.0,33486920.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,85,1,0,uc2n489.localdomain,c20af7ec2b393d168815a5d1d56a4b67,12.292825,37.541051,9773.0,135.0,639843.0,8237193.0,5332080.0,23070207.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,85,1,0,uc2n489.localdomain,63e54e34493627e8ea35468d405c89bb,11.82636,33.24994,39.0,135.0,660172.0,7753076.0,5493569.0,19193363.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,85,1,0,uc2n489.localdomain,78014bfb6df96a21647c4482e0a8b6d8,11.986415,68.954206,15574.0,135.0,643877.0,8055916.0,5542892.0,44153112.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,10,1,0,uc2n489.localdomain,c8b0715d1c47d726ca839fa2ca90f51b,0.91501,0.97136,291.0,135.0,798.0,747524.0,5427.0,795786.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,10,1,0,uc2n489.localdomain,910f5ff774854d3cf8a06ee0e39dc6b2,0.926858,0.998352,292.0,135.0,797.0,754952.0,5387.0,825398.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,10,1,0,uc2n489.localdomain,3f2353307d9b5a58c8212bc0f27a0414,0.912085,0.977676,425.0,135.0,801.0,745014.0,5427.0,803742.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,10,1,0,uc2n489.localdomain,7e5ad5395790dd6a84a3fe1efbb8279b,0.909861,1.039838,23.0,135.0,752.0,752325.0,5434.0,856789.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,10,1,0,uc2n489.localdomain,0fdfddf1eaeabf8ce8662f94c488a96d,0.907076,0.978348,205.0,135.0,757.0,743831.0,5378.0,805430.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,50,1,0,uc2n489.localdomain,1a24b51147ea59a6eeaf7c7c07ed691b,2.901195,6.679675,2838.0,135.0,115081.0,2009516.0,958402.0,4000688.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,50,1,0,uc2n489.localdomain,19493cc7e65ebebe5ee6bf79f90767b3,2.91754,7.257287,3233.0,135.0,114487.0,2002348.0,953921.0,4480799.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,50,1,0,uc2n489.localdomain,17249fffaf66a63ece74d29dfd81864c,2.910831,6.83092,4091.0,135.0,116827.0,2041030.0,967441.0,4132387.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,50,1,0,uc2n489.localdomain,a5597f22ad1904a6bf69ce829f880a31,3.051268,7.064781,38.0,135.0,118546.0,2096036.0,977732.0,4300256.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,50,1,0,uc2n489.localdomain,08d87cc35adc6c842f6de812cc96e0db,2.929389,7.140765,2631.0,135.0,114262.0,2018542.0,945608.0,4413004.0
cuda,GKOCG,BJ,Serial,PBiCGStab,DILU,55,1,0,uc2n489.localdomain,3edef7a4847c4f0320107e5e619c434b,3.796896,9.334833,3422.0,135.0,159092.0,2628638.0,1326043.0,5621275.0
cuda,GKOBiCGStab,none,Serial,PBiCGStab,DILU,55,1,0,uc2n489.localdomain,4f83defe82d44efe6b2076be8cdb22d8,3.759466,10.769624,3948.0,135.0,161805.0,2565592.0,1334650.0,6820117.0
cuda,GKOCG,none,Serial,PBiCGStab,DILU,55,1,0,uc2n489.localdomain,61f6375a98e3816a5557d54bbc6658af,3.827376,9.440318,4097.0,135.0,161370.0,2641184.0,1335594.0,5657161.0
cuda,GKOIR,none,Serial,PBiCGStab,DILU,55,1,0,uc2n489.localdomain,cf257207f025a9a15310ecb953f04b48,3.727585,9.098058,38.0,135.0,165275.0,2533245.0,1364134.0,5396143.0
cuda,GKOBiCGStab,BJ,Serial,PBiCGStab,DILU,55,1,0,uc2n489.localdomain,44ccbba7eef5ad47d8a370f3f9aef2ff,4.36834,25.295185,2694.0,135.0,161341.0,11306643.0,1372506.0,15168520.0
