executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,innerReductionFactor,processes,maxBlockSize,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n453.localdomain\n', 'top': ['top - 18:17:00 up 48 days,  4:05,  0 users,  load average: 6.98, 20.74, 32.59', 'Tasks: 1046 total,   5 running, 1041 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  4.6 us,  0.7 sy,  0.0 ni, 94.7 id,  0.0 wa,  0.1 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  83238.0 free,   9285.4 used,   3795.3 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  86052.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1882094 pp2365    20   0 7006304   1.2g 712796 R 100.0   1.2  17:42.09 python3', '1882095 pp2365    20   0 7016216   1.2g 712792 R 100.0   1.2  17:42.00 python3', '1882096 pp2365    20   0 7021276   1.2g 712892 R 100.0   1.2  17:41.80 python3', '1882097 pp2365    20   0 7130432   1.3g 712772 R 100.0   1.3  17:41.80 python3', '      1 root      20   0  245144  11876   8476 S   0.0   0.0   4:27.03 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:17.05 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+'], 'uptime': ' 18:17:00 up 48 days,  4:05,  0 users,  load average: 6.98, 20.74, 32.59\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,ILU,5,40,0,uc2n453.localdomain,0,1,0,99ec0ce8f2e6cc61c5aeda1f26c3a1f0,0.196063,0.237816,156.0,135.0,176.0,1480.0,118521.0,148125.0
OMP,BiCGStab,ILU,5,40,0,uc2n453.localdomain,0,1,0,700615fd9aa94e6fc918eced1d1ca703,0.175225,0.371693,87.0,135.0,173.0,1484.0,248306.0,280890.0
OMP,CG,NoPrecond,5,40,0,uc2n453.localdomain,0,1,0,3afde241e9ec61bdb3034559af59b61a,0.189844,0.23931,441.0,135.0,183.0,1476.0,89642.0,147287.0
OMP,CG,BJ,5,40,0,uc2n453.localdomain,0,1,16,9b879526d6c69a14c46fd59d95af10ed,0.166657,0.262558,315.0,135.0,185.0,1463.0,128920.0,171328.0
OMP,CG,BJ,5,40,0,uc2n453.localdomain,0,1,8,82544882ba305a34f36235f473c7c29a,0.256222,0.344225,361.0,135.0,177.0,1468.0,204706.0,251576.0
OMP,CG,BJ,5,40,0,uc2n453.localdomain,0,1,2,4b9c9ed562c83b3906b883d2e373e112,0.340804,0.335196,386.0,135.0,182.0,1533.0,196446.0,245962.0
OMP,CG,BJ,5,40,0,uc2n453.localdomain,0,1,4,f2bb98b394e7479a2ae8925ce7cb2314,0.153347,0.248073,384.0,135.0,183.0,1491.0,110339.0,159843.0
OMP,CG,BJ,5,40,0,uc2n453.localdomain,0,1,1,598d96678078d6a607265fafaec5a07e,0.234125,0.291823,404.0,135.0,182.0,1474.0,150136.0,201569.0
OMP,BiCGStab,NoPrecond,5,40,0,uc2n453.localdomain,0,1,0,b1b7557e144964e711cfb4957c75a3bb,0.225675,0.242035,292.0,135.0,189.0,1506.0,91098.0,152892.0
OMP,BiCGStab,BJ,5,40,0,uc2n453.localdomain,0,1,0,e7c4244165615db286d820ef8eaa5dcd,0.19818,0.293201,195.0,135.0,197.0,1512.0,149954.0,198162.0
