executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,innerReductionFactor,maxBlockSize,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n407.localdomain\n', 'top': ['top - 17:29:41 up 48 days,  1:34,  0 users,  load average: 24.54, 36.28, 38.80', 'Tasks: 1122 total,   2 running, 1120 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.0 us,  0.5 sy,  0.0 ni, 98.4 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem :  96318.7 total,  80456.7 free,  10522.7 used,   5339.3 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  84914.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3021968 nq7776    20   0   56768   5300   3576 R   5.9   0.0   0:00.02 top', '      1 root      20   0  327072   9520   6056 S   0.0   0.0   3:56.11 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:13.36 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   7:26.99 ksoftir+'], 'uptime': ' 17:29:41 up 48 days,  1:34,  0 users,  load average: 24.54, 36.28, 38.80\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,ILU,5,4,0,uc2n407.localdomain,1,None,None,a213d222715f776b114efa0d79448307,0.099833,0.116501,156.0,135.0,189.0,1028.0,6095.0,18893.0
OMP,BiCGStab,ILU,5,4,0,uc2n407.localdomain,1,None,None,d97c6247402f44c19d58a2758a50d722,0.094198,0.108383,88.0,135.0,187.0,1019.0,6713.0,20771.0
OMP,CG,NoPrecond,5,4,0,uc2n407.localdomain,1,None,None,None,None,None,None,None,None,None,None,None
OMP,CG,BJ,5,4,0,uc2n407.localdomain,1,None,16,05d0df4e71f1432546ca447fd7acce18,0.094083,0.110892,315.0,135.0,209.0,1044.0,6271.0,22528.0
OMP,CG,BJ,5,4,0,uc2n407.localdomain,1,None,8,488f5e55261884ef637b7e49e7292a07,0.100143,0.11876,361.0,135.0,200.0,1022.0,6532.0,23976.0
OMP,CG,BJ,5,4,0,uc2n407.localdomain,1,None,2,bbdf420e45147e4ccc9508ed6fe6ec28,0.099679,0.125933,386.0,135.0,197.0,1019.0,6829.0,25176.0
OMP,CG,BJ,5,4,0,uc2n407.localdomain,1,None,4,8f4291db4592e83665078f6fa6cc0f03,0.09866,0.11667,384.0,135.0,194.0,1013.0,6658.0,24588.0
OMP,CG,BJ,5,4,0,uc2n407.localdomain,1,None,1,3e0a8633ceefd5a3063bbd27017d2a2a,0.098715,0.125042,404.0,135.0,217.0,1077.0,7108.0,26857.0
OMP,BiCGStab,NoPrecond,5,4,0,uc2n407.localdomain,1,None,None,7024765b0d5b593d9b65d6d0aba587d1,0.099402,0.124549,291.0,135.0,209.0,1083.0,8895.0,34990.0
