executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,maxBlockSize,innerReductionFactor,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n397.localdomain\n', 'top': ['top - 17:07:30 up 48 days,  4:09,  0 users,  load average: 30.36, 30.11, 30.46', 'Tasks: 1048 total,  31 running, 1017 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  2.6 us,  0.1 sy,  0.0 ni, 97.3 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem :  96318.7 total,  61837.6 free,  31711.8 used,   2769.3 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  63724.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2970112 ho_visw+  20   0 1137432 780916  18380 R  12.5   0.8  77:52.07 R', '2970230 ho_visw+  20   0 1128996 772504  18188 R  12.5   0.8  77:51.89 R', '3156988 nq7776    20   0   56636   5284   3560 R  12.5   0.0   0:00.03 top', '2970046 ho_visw+  20   0 1158276 802036  18440 R   6.2   0.8  77:51.90 R', '2970059 ho_visw+  20   0 1152960 796336  18164 R   6.2   0.8  77:51.88 R', '2970072 ho_visw+  20   0 1158380 802052  18352 R   6.2   0.8  77:51.72 R', '2970086 ho_visw+  20   0 1117040 760132  18028 R   6.2   0.8  77:51.87 R', '2970099 ho_visw+  20   0 1022660 666236  18128 R   6.2   0.7  77:51.85 R'], 'uptime': ' 17:07:30 up 48 days,  4:09,  0 users,  load average: 30.36, 30.11, 30.46\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,BJ,65,20,0,uc2n397.localdomain,1,None,1,964cbfb91bf120e2face8e9762fb8ebb,7.64063,36.287646,9007.0,135.0,271261.0,2191612.0,5617727.0,28118858.0
OMP,BiCGStab,NoPrecond,65,20,0,uc2n397.localdomain,None,None,1,318a2f93bad44a0b72ee332f61710eaf,9.706368,52.00983,7301.0,135.0,265350.0,2234532.0,7605559.0,42145161.0
OMP,BiCGStab,BJ,65,20,0,uc2n397.localdomain,None,None,1,ba4760a331a80d0c53dfb5af9d5b93fd,9.697345,53.299167,4918.0,135.0,271025.0,2203439.0,8520933.0,43302663.0
OMP,IR,NoPrecond,65,20,0,uc2n397.localdomain,None,0.1,1,0ef431c6e9189397f1039cf50a06f310,8.687914,38.479953,100.0,135.0,268883.0,2200755.0,7205833.0,30021790.0
OMP,IR,NoPrecond,65,20,0,uc2n397.localdomain,None,0.01,1,3779c9eaed2305215745cbb53ff79e66,8.346211,37.599331,56.0,135.0,262291.0,2143909.0,6216973.0,29374973.0
OMP,IR,NoPrecond,65,20,0,uc2n397.localdomain,None,0.05,1,b1eb7f64af8765dd06553f31a65a12d0,7.964163,39.945854,80.0,135.0,272692.0,2217568.0,6387929.0,31212476.0
OMP,IR,NoPrecond,65,20,0,uc2n397.localdomain,None,0.001,1,e4e1e45fc6c6fdf4a3915fbfe274a007,7.957769,38.262411,38.0,135.0,263614.0,2281075.0,6878201.0,29729935.0
OMP,CG,ILU,95,20,0,uc2n397.localdomain,None,None,1,38002ef59754a37f842d958cc5c5b135,29.584649,160.793384,4505.0,135.0,899846.0,7514152.0,23592805.0,129592677.0
OMP,BiCGStab,ILU,95,20,0,uc2n397.localdomain,None,None,1,29f5dece1e14a45927a79c49a1ee3f2e,36.896947,212.909044,3180.0,135.0,901551.0,7541619.0,31181255.0,184997041.0
OMP,CG,NoPrecond,95,20,0,uc2n397.localdomain,None,None,1,ed7c518e8e2a1e3343524cf5e6d53fa6,29.34908,166.292723,14244.0,135.0,904050.0,7498552.0,24451001.0,134768787.0
OMP,CG,BJ,95,20,0,uc2n397.localdomain,16,None,1,8901bf3e30847b4171257a10831beecf,32.170986,195.148801,12031.0,135.0,883013.0,7321389.0,27572578.0,161649474.0
OMP,CG,BJ,95,20,0,uc2n397.localdomain,8,None,1,d141779b04d1ba590da9fa75a13db548,30.490896,172.0199,12030.0,135.0,899263.0,7538893.0,25836062.0,140323229.0
OMP,CG,BJ,95,20,0,uc2n397.localdomain,2,None,1,20262a5f99e64e581eb4e0f29be40ae4,29.157342,156.945874,12349.0,135.0,904454.0,7338041.0,24247123.0,126488212.0
OMP,CG,BJ,95,20,0,uc2n397.localdomain,4,None,1,72784b30b1bc8aac8e454f507d660cfe,29.568336,162.543292,11998.0,135.0,898965.0,7578961.0,23572657.0,131533027.0
OMP,CG,BJ,95,20,0,uc2n397.localdomain,1,None,1,9ab2f2338aa2b1bb858e0e9dd44190ee,29.94631,162.018036,14063.0,135.0,904910.0,7449969.0,24922867.0,130939660.0
