executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,innerReductionFactor,maxBlockSize,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n385.localdomain\n', 'top': ['top - 17:56:39 up 48 days,  3:08,  0 users,  load average: 1.62, 5.84, 6.99', 'Tasks: 1069 total,   2 running, 1067 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.3 us,  0.1 sy,  0.0 ni, 98.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  54131.3 free,  37252.8 used,   4934.6 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  58183.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 584414 hd_cu194  20   0   20.9g  19.8g  14556 R 100.0  21.0  65:15.12 python3+', ' 657373 nq7776    20   0   56636   5356   3640 R   6.2   0.0   0:00.02 top', '      1 root      20   0  253340   7860   4440 S   0.0   0.0   9:11.30 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:44.81 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 17:56:39 up 48 days,  3:08,  0 users,  load average: 1.62, 5.84, 6.99\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,ILU,5,16,0,uc2n385.localdomain,1,None,None,74dc4f53a3f045b86aa14f0520e2cf24,0.092477,0.125705,156.0,135.0,206.0,1441.0,14678.0,34858.0
OMP,BiCGStab,ILU,5,16,0,uc2n385.localdomain,1,None,None,4586023340f72314c35e89b091f5652f,0.091909,0.114356,86.0,135.0,181.0,1022.0,12635.0,30447.0
OMP,CG,NoPrecond,5,16,0,uc2n385.localdomain,1,None,None,53f7e4fcf85a4dac6b2f4db4520fb8b8,0.094235,0.13771,441.0,135.0,213.0,1314.0,15568.0,48862.0
OMP,CG,BJ,5,16,0,uc2n385.localdomain,1,None,16,1689fc8b244408cb97e102dbd7075d12,0.091064,0.117308,315.0,135.0,215.0,1210.0,11930.0,33770.0
OMP,CG,BJ,5,16,0,uc2n385.localdomain,1,None,8,b1055091424dadb25d5453a976db6f09,0.091193,0.120393,361.0,135.0,179.0,1190.0,12264.0,36198.0
OMP,CG,BJ,5,16,0,uc2n385.localdomain,1,None,2,9e4d136f27ab29f47ea9e013119c3394,0.094898,0.123277,386.0,135.0,183.0,1184.0,13334.0,38047.0
OMP,CG,BJ,5,16,0,uc2n385.localdomain,1,None,4,ccd08dfff5b18cbee1cf1ebe1ab21f24,0.097094,0.127533,384.0,135.0,187.0,1293.0,13983.0,42466.0
OMP,CG,BJ,5,16,0,uc2n385.localdomain,1,None,1,746de5e4ff4ca024cb7490f445dbbbb6,0.090483,0.125902,404.0,135.0,191.0,1193.0,13364.0,39336.0
OMP,BiCGStab,NoPrecond,5,16,0,uc2n385.localdomain,1,None,None,9ca043b6696e8fa0c3aef65864e0b12c,0.093442,0.130909,287.0,135.0,180.0,1042.0,12628.0,46727.0
OMP,BiCGStab,BJ,5,16,0,uc2n385.localdomain,1,None,None,1985608b95af285b4682b916a7efbb27,0.092822,0.13309,198.0,135.0,184.0,1152.0,18144.0,46263.0
OMP,IR,NoPrecond,5,16,0,uc2n385.localdomain,1,0.1,None,3e15d7c57bf8934403fbf68ba1965e31,0.091539,0.159618,64.0,135.0,179.0,1326.0,19370.0,71772.0
OMP,IR,NoPrecond,5,16,0,uc2n385.localdomain,1,0.01,None,312bc7ddcf077fcabd39e6571675d581,0.092832,0.134622,36.0,135.0,180.0,1056.0,11684.0,48820.0
OMP,IR,NoPrecond,5,16,0,uc2n385.localdomain,1,0.05,None,6c7d8d0cbc900133406587505a370fa1,0.09762,0.146561,51.0,135.0,182.0,1260.0,15125.0,60472.0
OMP,IR,NoPrecond,5,16,0,uc2n385.localdomain,1,0.001,None,956a5f9503a8b382aac780862e6ba713,0.090672,0.140867,26.0,135.0,182.0,1174.0,14823.0,54106.0
OMP,CG,ILU,15,16,0,uc2n385.localdomain,1,None,None,053c763b609f71feb0d2056baa9b99ed,0.151639,0.28585,592.0,135.0,2376.0,19173.0,43598.0,139905.0
OMP,BiCGStab,ILU,15,16,0,uc2n385.localdomain,1,None,None,06832450c56b1c5d19c14bee79a698a6,0.147125,0.363193,433.0,135.0,2358.0,24624.0,51351.0,206235.0
OMP,CG,NoPrecond,15,16,0,uc2n385.localdomain,1,None,None,aaedb1513eb0ef2d0d77bd0b0dff3a26,0.152285,0.35174,1882.0,135.0,2354.0,19059.0,52095.0,201057.0
OMP,CG,BJ,15,16,0,uc2n385.localdomain,1,None,16,94d19f7e2a18382a089c22496d3c85eb,0.155031,0.378974,1590.0,135.0,2432.0,24682.0,53922.0,216989.0
OMP,CG,BJ,15,16,0,uc2n385.localdomain,1,None,8,0f3a5f99cba45c51c35279a743052fdb,0.150323,0.374446,1599.0,135.0,2367.0,24690.0,51541.0,211082.0
OMP,CG,BJ,15,16,0,uc2n385.localdomain,1,None,2,d8b69ed8dbc4c84e35fd632d31dab67a,0.153537,0.336191,1606.0,135.0,2337.0,19568.0,48724.0,185668.0
OMP,CG,BJ,15,16,0,uc2n385.localdomain,1,None,4,2b107ef16ca844090458cca3ca5f5137,0.149898,0.342762,1593.0,135.0,2360.0,19594.0,54745.0,192589.0
OMP,CG,BJ,15,16,0,uc2n385.localdomain,1,None,1,1cbc288d8d276c9ed91e84dbacd895de,0.146717,0.343263,1732.0,135.0,2291.0,19192.0,49370.0,193041.0
OMP,BiCGStab,NoPrecond,15,16,0,uc2n385.localdomain,1,None,None,fccde63ec92b941af2285c3c717b19bb,0.161899,0.426716,1423.0,135.0,2486.0,19489.0,63423.0,277719.0
OMP,BiCGStab,BJ,15,16,0,uc2n385.localdomain,1,None,None,a43b3199454962c9f42e9f06ed19bf33,0.16243,0.418557,1088.0,135.0,2316.0,19048.0,64019.0,274546.0
OMP,IR,NoPrecond,15,16,0,uc2n385.localdomain,1,0.1,None,61eea6ecc6a9a9f70026d4585337e673,0.161231,0.399268,82.0,135.0,2291.0,19385.0,61598.0,247240.0
OMP,IR,NoPrecond,15,16,0,uc2n385.localdomain,1,0.01,None,e03afd20c2d73cdf0144e7f0d33e20a0,0.151851,0.368091,43.0,135.0,2338.0,19355.0,51769.0,213719.0
OMP,IR,NoPrecond,15,16,0,uc2n385.localdomain,1,0.05,None,d82fc16cfa97265b22e08f00e9f7ed78,0.158497,0.410676,64.0,135.0,2322.0,24643.0,58150.0,243107.0
OMP,IR,NoPrecond,15,16,0,uc2n385.localdomain,1,0.001,None,7c38c062404ea24aa5b9e40fdc98fd43,0.160087,0.420836,35.0,135.0,2352.0,24674.0,59594.0,256590.0
OMP,CG,ILU,90,16,0,uc2n385.localdomain,1,None,None,6a78db792b50f85beec53868cfa9256f,24.300456,138.056391,4244.0,135.0,734613.0,6239518.0,19327146.0,111407209.0
OMP,BiCGStab,ILU,90,16,0,uc2n385.localdomain,1,None,None,019767d70b8456042776bcd840e33459,30.369151,178.066779,2843.0,135.0,726327.0,6232010.0,25776713.0,146104005.0
OMP,CG,NoPrecond,90,16,0,uc2n385.localdomain,1,None,None,b4d1fc9f6a6b47b9eab75918bc873076,23.060504,127.231285,13372.0,135.0,747598.0,6090324.0,18191675.0,102165710.0
OMP,CG,BJ,90,16,0,uc2n385.localdomain,1,None,16,ecf38b410678819240d43b97d7d9266c,25.263181,141.65654,11043.0,135.0,731621.0,6024869.0,20469605.0,115388435.0
OMP,CG,BJ,90,16,0,uc2n385.localdomain,1,None,16,ea37fb6c18c465b1833bd756bb331d8f,25.679852,142.673326,11043.0,135.0,745428.0,6197297.0,20297606.0,116352719.0
OMP,CG,BJ,90,16,0,uc2n385.localdomain,1,None,8,0,23.578437,23.177449,0,0,0,0,0,0
OMP,CG,BJ,90,16,0,uc2n385.localdomain,1,None,8,b57349265b281d9a9a578602d4eefcca,23.502924,127.966721,11092.0,135.0,740177.0,6207738.0,18627519.0,103037849.0
OMP,CG,BJ,90,16,0,uc2n385.localdomain,1,None,2,8b08fea3e5e81a6d247f4d0b384ee4dc,23.161276,120.252591,12051.0,135.0,748019.0,6108332.0,18036212.0,95861369.0
OMP,CG,BJ,90,16,0,uc2n385.localdomain,1,None,2,1cab880d1e5b0c2b0c12c1a528ee97d3,22.923104,120.278592,12051.0,135.0,731920.0,6094025.0,18091760.0,95805613.0
OMP,CG,BJ,90,16,0,uc2n385.localdomain,1,None,4,7d514a37315f19a52de026ead4eaeb9c,22.476995,120.610334,11264.0,135.0,728878.0,6179103.0,17820434.0,96132164.0
OMP,CG,BJ,90,16,0,uc2n385.localdomain,1,None,4,cb7f4af39e649fa698103a2e3c1889bd,22.885448,118.318397,11264.0,135.0,735506.0,6135314.0,17908163.0,94302365.0
