executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n527.localdomain\n', 'top': ['top - 16:06:43 up 53 days, 25 min,  0 users,  load average: 0.57, 1.00, 2.93', 'Tasks: 1048 total,   1 running, 1047 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 193086.6 total, 163590.6 free,  11094.9 used,  18401.1 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 180654.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '  49090 nq7776    20   0   56636   5296   3576 R   5.9   0.0   0:00.02 top', '3348567 tu_zxmf+  20   0  689820 133188  12604 S   5.9   0.1   5:15.07 batchsp+', '      1 root      20   0  261552   8012   4580 S   0.0   0.0   3:09.86 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:32.45 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+'], 'uptime': ' 16:06:43 up 53 days, 25 min,  0 users,  load average: 0.57, 1.00, 2.93\n', 'libOGL.so': 'f62bcec1d853280ae0d8bc728d666a3a  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
MPI,BiCGStab,NoPrecond,5,2,40,uc2n527.localdomain,1,40,95847d735497009737fcac92cac0aeae,1.900276,2.577508,352.0,135.0,4005.0,12782.0,8045.0,23820.0
MPI,CG,DIC,5,2,40,uc2n527.localdomain,1,40,57c91a0ed2647025da73f55881c47904,1.87887,5.728662,414.0,135.0,4206.0,14802.0,5893.0,19079.0
MPI,BiCGStab,DIC,5,2,40,uc2n527.localdomain,1,40,90909115c3836ca48195c9cb01728921,2.630234,1.5162,278.0,135.0,4145.0,13391.0,8335.0,22701.0
MPI,CG,NoPrecond,5,2,40,uc2n527.localdomain,1,40,2cf9b4d116b3357a5505edc07511116d,1.788614,1.439275,475.0,135.0,4301.0,14319.0,6741.0,21309.0
MPI,BiCGStab,NoPrecond,15,2,40,uc2n527.localdomain,1,40,b2a89436760b5d91151ceaeefbcd679d,2.202434,1.95229,1436.0,135.0,4824.0,13236.0,25260.0,83370.0
MPI,CG,DIC,15,2,40,uc2n527.localdomain,1,40,47eb53dfb5455ef2515058f35d578e6f,1.453739,2.19165,1004.0,135.0,4694.0,15385.0,13144.0,39270.0
MPI,BiCGStab,DIC,15,2,40,uc2n527.localdomain,1,40,6bed1ec49568bf115bafaa1d1a752935,2.022757,1.519561,733.0,135.0,4977.0,14306.0,17742.0,51492.0
MPI,CG,NoPrecond,15,2,40,uc2n527.localdomain,1,40,a5221937052e376f88b50a064d23741a,1.438153,1.658545,1900.0,135.0,4769.0,13616.0,19708.0,59673.0
MPI,BiCGStab,NoPrecond,90,2,40,uc2n527.localdomain,1,40,77b043f2526afbfb9b89b6f9423bccb4,4.961019,23.24545,8873.0,135.0,74461.0,646734.0,2403631.0,17829561.0
