executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n469.localdomain\n', 'top': ['top - 12:45:01 up 52 days,  1:15,  0 users,  load average: 4.29, 18.69, 24.41', 'Tasks: 1090 total,   1 running, 1089 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 193086.6 total, 179554.2 free,   8714.2 used,   4818.1 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 183007.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 963637 nq7776    20   0  103332   8072   7412 D  11.8   0.0   0:00.04 icoFoam', '     12 root      20   0       0      0      0 I   5.9   0.0 100:04.17 rcu_sch+', ' 964569 nq7776    20   0   56780   5304   3584 R   5.9   0.0   0:00.02 top', '      1 root      20   0  261552  11660   8220 S   0.0   0.0   2:28.91 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:20.14 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 12:45:01 up 52 days,  1:15,  0 users,  load average: 4.29, 18.69, 24.41\n', 'libOGL.so': 'f62bcec1d853280ae0d8bc728d666a3a  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
MPI,CG,NoPrecond,55,2,36,uc2n469.localdomain,1,36,7f3661f3aaf15b8b72a905a0da5d3eda,1.850321,2.715482,7777.0,135.0,13484.0,89388.0,123534.0,1034242.0
MPI,BiCGStab,NoPrecond,35,2,36,uc2n469.localdomain,1,36,2a7be9a1d1a4de43aea24b8a079399d3,1.712491,3.089943,4134.0,135.0,5677.0,28151.0,48958.0,398455.0
MPI,CG,DIC,35,2,36,uc2n469.localdomain,1,36,e01f5b6dbdd5a076dd7dfeb050a70bc2,1.865143,2.170494,2278.0,135.0,5548.0,27803.0,20071.0,164914.0
MPI,BiCGStab,DIC,35,2,36,uc2n469.localdomain,1,36,23093f9eec505458ac7549e97c07b9da,1.734819,2.352067,1579.0,135.0,5395.0,27543.0,26367.0,214112.0
MPI,CG,NoPrecond,35,2,36,uc2n469.localdomain,1,36,fa13d95d13eea07f2925340f23fa122a,1.757183,2.052333,4934.0,135.0,5548.0,30809.0,29589.0,266958.0
MPI,BiCGStab,NoPrecond,20,2,36,uc2n469.localdomain,1,36,99a29e74fd446d1d1968a4140d2b6d7a,1.912398,3.901996,2240.0,135.0,3339.0,13369.0,15261.0,113081.0
MPI,CG,DIC,20,2,36,uc2n469.localdomain,1,36,adf7acd4926fdd827cbbdf59c403f25b,1.950274,2.09125,1439.0,135.0,5166.0,15037.0,7660.0,45933.0
MPI,BiCGStab,DIC,20,2,36,uc2n469.localdomain,1,36,621950c64f6011a07b21f8d10872a061,1.726146,1.694022,1005.0,135.0,3386.0,13331.0,7798.0,59844.0
MPI,CG,NoPrecond,20,2,36,uc2n469.localdomain,1,36,e98a1bb02385961778cd03c423159bd0,1.570838,1.987118,2795.0,135.0,3420.0,13276.0,9698.0,91302.0
MPI,BiCGStab,NoPrecond,60,2,36,uc2n469.localdomain,1,36,eacc717f5bcdcdc4437f88aa9d14312f,2.500626,4.864242,6355.0,135.0,16992.0,124262.0,282603.0,2397411.0
MPI,CG,DIC,60,2,36,uc2n469.localdomain,1,36,044d515325f4ea03491609b83c8b3dec,1.917314,2.937048,3378.0,135.0,17106.0,121438.0,112818.0,955661.0
MPI,BiCGStab,DIC,60,2,36,uc2n469.localdomain,1,36,8ab7ecf75fdefcc72dcc4c96abd094be,3.371956,4.062387,2231.0,135.0,16986.0,122692.0,163725.0,1340493.0
MPI,CG,NoPrecond,60,2,36,uc2n469.localdomain,1,36,b9b0d7e684d674fdaede05371fddb3c1,5.697593,3.781121,8469.0,135.0,28598.0,133206.0,168445.0,1401905.0
MPI,BiCGStab,NoPrecond,45,2,36,uc2n469.localdomain,1,36,822d26e6efbd98dd6e27402664d4f338,2.120854,6.124751,4552.0,135.0,8430.0,49149.0,77521.0,774300.0
MPI,CG,DIC,45,2,36,uc2n469.localdomain,1,36,d8b04934d1b38b528fc3aba9483216c0,2.829288,2.29082,2652.0,135.0,8191.0,49677.0,43127.0,361498.0
MPI,BiCGStab,DIC,45,2,36,uc2n469.localdomain,1,36,4497a2165e9ca7bd5afd29597dbfa5e9,1.998782,2.204212,1665.0,135.0,8392.0,49546.0,62917.0,435504.0
MPI,CG,NoPrecond,45,2,36,uc2n469.localdomain,1,36,7f759a7752411dda8de2275519d3f9a9,2.070291,2.415237,6157.0,135.0,8404.0,48990.0,61618.0,529750.0
