executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,innerReductionFactor,maxBlockSize,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'top': ['top - 09:07:04 up 7 days, 13:59,  1 user,  load average: 0.59, 0.49, 0.32', 'Tasks: 941 total,   1 running, 940 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515589.7 total, 506280.4 free,   3170.7 used,   6138.6 buff/cache', 'MiB Swap: 131072.0 total, 131072.0 free,      0.0 used. 509740.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2646 root      rt   0  705588 225840  93052 S   5.9   0.0  53:54.52 corosync', '3167826 greole    20   0   67228   7936   4788 S   5.9   0.0   0:00.60 zsh', '3181074 greole    25   5   66236   5932   4284 R   5.9   0.0   0:00.03 top', '      1 root      20   0  241640  14604   8864 S   0.0   0.0   0:04.90 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:00.37 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 09:07:04 up 7 days, 13:59,  1 user,  load average: 0.59, 0.49, 0.32\n', 'libOGL.so': '341294933b6c36fc289f3b5de7561e29  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
HIP,CG,BJ,100,None,0,nla-gpu1.ianm.kit.edu,None,16,1,b27f131d08b4f395799ef9f062fa3a67,19.130014,37.669327,12110.0,135.0,873944.0,7419963.0,12623355.0,18263775.0
HIP,CG,BJ,100,None,0,nla-gpu1.ianm.kit.edu,None,1,1,17d197cdfafca777174c65a8cba86ba0,18.619878,35.53471,14570.0,135.0,880743.0,7471800.0,11029948.0,16128229.0
HIP,CG,BJ,100,None,0,nla-gpu1.ianm.kit.edu,None,4,1,ab12425dc798ce15876a38265546fde7,18.889143,36.323225,12600.0,135.0,874506.0,7403427.0,12214954.0,16974298.0
HIP,CG,BJ,100,None,0,nla-gpu1.ianm.kit.edu,None,8,1,b8378f91db64fb8a3b729fe6939b079c,19.361908,36.861563,12230.0,135.0,878027.0,7448767.0,12326307.0,17409083.0
HIP,IR,NoPrecond,100,None,0,nla-gpu1.ianm.kit.edu,0.05,None,1,3c0262132a3b1c39421026ddafd3c6a9,19.65772,51.665775,180.0,135.0,873144.0,7452169.0,13162606.0,30717513.0
HIP,IR,NoPrecond,100,None,0,nla-gpu1.ianm.kit.edu,0.01,None,1,29530bb386665d4abfadb104d7517202,20.435556,57.980015,180.0,135.0,876115.0,7419765.0,13510691.0,36175710.0
HIP,IR,NoPrecond,100,None,0,nla-gpu1.ianm.kit.edu,0.1,None,1,3d024e8283fe475cb12ded1213169063,19.657932,47.764728,180.0,135.0,873766.0,7389574.0,12987764.0,27350710.0
HIP,IR,NoPrecond,100,None,0,nla-gpu1.ianm.kit.edu,0.001,None,1,02c5c346bc265e16e8d350ab43c6ce4c,22.987956,75.625402,180.0,135.0,880662.0,7513068.0,15450411.0,52208879.0
HIP,BiCGStab,BJ,100,None,0,nla-gpu1.ianm.kit.edu,None,None,1,4caebc4e7d7970282513faa7124806fa,19.320015,39.828018,8880.0,135.0,877477.0,7405123.0,12338452.0,20136050.0
HIP,BiCGStab,NoPrecond,100,None,0,nla-gpu1.ianm.kit.edu,None,None,1,6b2750e77f9502b9800b54600d365462,18.580921,38.863823,11750.0,135.0,882221.0,7482272.0,11862613.0,19186458.0
HIP,CG,ILU,100,None,0,nla-gpu1.ianm.kit.edu,None,None,1,186888ee79593911166c9060336dce2d,19.508773,48.098118,4740.0,135.0,885723.0,7456281.0,13056142.0,27531885.0
HIP,CG,NoPrecond,100,None,0,nla-gpu1.ianm.kit.edu,None,None,1,2f0963f46aa4e5d077c87d58c5ecbd4f,18.823737,36.116517,14690.0,135.0,868929.0,7401875.0,11716268.0,16763064.0
HIP,BiCGStab,ILU,100,None,0,nla-gpu1.ianm.kit.edu,None,None,1,204df7ce4683a90d8f44b4daa890a331,20.390469,55.891616,3515.0,135.0,871984.0,7430752.0,13628350.0,34685307.0
HIP,CG,BJ,90,None,0,nla-gpu1.ianm.kit.edu,None,2,1,2c9536550bb5b626a158ab32723277fe,14.207266,27.187166,12150.0,135.0,627826.0,5276037.0,9159237.0,12889253.0
HIP,CG,BJ,90,None,0,nla-gpu1.ianm.kit.edu,None,16,1,f4aea44501963b2ec8fd40c49a0c879d,14.59755,27.791046,11130.0,135.0,633398.0,5332115.0,9050280.0,13330427.0
HIP,CG,BJ,90,None,0,nla-gpu1.ianm.kit.edu,None,1,1,ba7030ee787961ded61a7b0675e98302,13.848348,27.155289,13280.0,135.0,630969.0,5307353.0,8943032.0,12785079.0
HIP,CG,BJ,90,None,0,nla-gpu1.ianm.kit.edu,None,4,1,0f2f44366b75f4aa9ca6f5710ad37c95,14.254132,26.843227,11330.0,135.0,621983.0,5301795.0,9022911.0,12593746.0
HIP,CG,BJ,90,None,0,nla-gpu1.ianm.kit.edu,None,8,1,d54bf94a49f788661029925631d1cf0d,14.618184,27.564195,11160.0,135.0,626648.0,5271181.0,9409062.0,13308153.0
HIP,IR,NoPrecond,90,None,0,nla-gpu1.ianm.kit.edu,0.05,None,1,cb6c61ca30f4224450e5405f645b53c9,15.028643,37.792761,180.0,135.0,632313.0,5332017.0,9688253.0,22265932.0
HIP,IR,NoPrecond,90,None,0,nla-gpu1.ianm.kit.edu,0.01,None,1,e7e9d2388e14fcb98820456b4195394c,15.922451,43.524526,180.0,135.0,630712.0,5316727.0,9999330.0,27445914.0
HIP,IR,NoPrecond,90,None,0,nla-gpu1.ianm.kit.edu,0.1,None,1,65b995db96506d32b6d5d43ce9b1a851,14.647239,35.699324,180.0,135.0,627037.0,5280375.0,9580524.0,20399870.0
HIP,IR,NoPrecond,90,None,0,nla-gpu1.ianm.kit.edu,0.001,None,1,20b365f3c853074fe6585101e654a917,17.438971,56.872621,180.0,135.0,630563.0,5260156.0,11601107.0,39391195.0
HIP,BiCGStab,BJ,90,None,0,nla-gpu1.ianm.kit.edu,None,None,1,6b410cd49b317b00cf613c7c0a7d9f1a,14.914844,30.364351,8705.0,135.0,637180.0,5292967.0,9467872.0,15832484.0
HIP,BiCGStab,NoPrecond,90,None,0,nla-gpu1.ianm.kit.edu,None,None,1,f00c0589d1f558c3cd80f4390e41f2b7,14.109298,30.000475,11445.0,135.0,631135.0,5312249.0,9330367.0,15387403.0
HIP,CG,ILU,90,None,0,nla-gpu1.ianm.kit.edu,None,None,1,e325d4c8e09326d1d7aae263c82da486,14.716048,35.001115,4320.0,135.0,625656.0,5281957.0,9579664.0,19927029.0
HIP,CG,NoPrecond,90,None,0,nla-gpu1.ianm.kit.edu,None,None,1,e453460c361b9d173c3b6bc84fae0eb3,14.069201,26.287022,13460.0,135.0,627880.0,5278498.0,8249131.0,12010469.0
HIP,BiCGStab,ILU,90,None,0,nla-gpu1.ianm.kit.edu,None,None,1,199cf1cffef5645e0fe068bba82d2caf,15.393629,40.056757,3060.0,135.0,633186.0,5286925.0,10118714.0,24389964.0
HIP,CG,BJ,80,None,0,nla-gpu1.ianm.kit.edu,None,2,1,de1e149a46f0b219a5521587085d6baf,10.268196,18.79376,10520.0,135.0,435730.0,3662000.0,6461751.0,8978410.0
HIP,CG,BJ,80,None,0,nla-gpu1.ianm.kit.edu,None,16,1,439db745695b574ed92c44cc83a9286b,10.1769,19.068757,9540.0,135.0,443846.0,3642353.0,6469290.0,9303014.0
HIP,CG,BJ,80,None,0,nla-gpu1.ianm.kit.edu,None,1,1,bc745bbf84d6d51b8583b80d68e1044d,9.93383,18.601715,11500.0,135.0,438639.0,3657493.0,6136433.0,8820212.0
HIP,CG,BJ,80,None,0,nla-gpu1.ianm.kit.edu,None,4,1,693451f91e3c7092d11fd99f799c10aa,10.263929,18.645047,9980.0,135.0,436939.0,3630883.0,6371971.0,8865885.0
HIP,CG,BJ,80,None,0,nla-gpu1.ianm.kit.edu,None,8,1,4ab7fb48b7c396632874a39cb9a3ab14,10.192829,18.845206,9670.0,135.0,436019.0,3664679.0,6350878.0,9057647.0
HIP,IR,NoPrecond,80,None,0,nla-gpu1.ianm.kit.edu,0.05,None,1,5efc286693186e0ec2d4a2b66a146db8,10.436981,27.368728,180.0,135.0,437146.0,3663869.0,6674607.0,16711515.0
HIP,IR,NoPrecond,80,None,0,nla-gpu1.ianm.kit.edu,0.01,None,1,2cf85a6980e91680b3f7325c6b21fb7b,10.674264,31.487638,180.0,135.0,436723.0,3673931.0,7190722.0,20282604.0
HIP,IR,NoPrecond,80,None,0,nla-gpu1.ianm.kit.edu,0.1,None,1,fa38fb1a90713e9bd5441273ecada68d,10.481754,25.009834,180.0,135.0,436883.0,3685020.0,6702630.0,14539385.0
HIP,IR,NoPrecond,80,None,0,nla-gpu1.ianm.kit.edu,0.001,None,1,79d30206f84aea4c9d99ca0f2ca2e6e1,11.829936,39.685329,180.0,135.0,438705.0,3660862.0,7995127.0,27663258.0
