backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,8,1,3.19937,1,614
GKO,cuda,CG,none,8,1,1.154018,1,614
GKO,cuda,CG,none,8,1,1.146988,1,614
GKO,cuda,CG,none,8,1,1.15732,1,614
GKO,cuda,CG,none,8,1,1.149597,1,614
GKO,cuda,CG,none,8,1,1.143845,1,614
GKO,cuda,CG,none,8,1,1.154555,1,614
GKO,cuda,CG,none,8,1,1.142707,1,614
GKO,cuda,CG,none,8,1,1.139621,1,614
GKO,cuda,CG,none,8,1,1.14189,1,614
GKO,cuda,CG,none,8,1,1.156502,1,614
GKO,cuda,CG,none,8,1,1.142437,1,614
GKO,cuda,CG,none,8,1,1.158866,1,614
GKO,cuda,CG,none,8,1,1.147896,1,614
GKO,cuda,CG,none,8,1,1.15684,1,614
GKO,cuda,CG,none,8,1,1.1491,1,614
GKO,cuda,CG,none,8,1,1.147771,1,614
GKO,cuda,CG,none,8,1,1.152555,1,614
GKO,cuda,CG,none,8,1,1.144613,1,614
GKO,cuda,CG,none,8,1,1.142421,1,614
GKO,cuda,CG,none,8,1,1.16543,1,614
GKO,cuda,CG,none,8,1,1.156023,1,614
GKO,cuda,CG,none,8,1,1.149354,1,614
GKO,cuda,CG,none,8,1,1.146719,1,614
GKO,cuda,CG,none,8,1,1.139975,1,614
GKO,cuda,CG,none,8,1,1.141698,1,614
GKO,cuda,CG,none,8,1,1.143247,1,614
GKO,cuda,CG,none,8,1,1.157042,1,614
GKO,cuda,CG,none,8,1,1.157456,1,614
GKO,cuda,CG,none,8,1,1.138683,1,614
GKO,cuda,CG,none,8,1,1.143922,1,614
GKO,cuda,CG,none,8,1,1.154254,1,614
GKO,cuda,CG,none,8,1,1.170571,1,614
GKO,cuda,CG,none,8,1,1.164414,1,614
GKO,cuda,CG,none,8,1,1.141689,1,614
GKO,cuda,CG,none,8,1,1.157445,1,614
GKO,cuda,CG,none,8,1,1.149118,1,614
GKO,cuda,CG,none,8,1,1.153408,1,614
GKO,cuda,CG,none,8,1,1.146909,1,614
GKO,cuda,CG,none,8,1,1.147174,1,614
GKO,cuda,CG,none,8,1,1.159298,1,614
GKO,cuda,CG,none,8,1,1.152591,1,614
GKO,cuda,CG,none,8,1,1.139052,1,614
GKO,cuda,CG,none,8,1,1.14205,1,614
GKO,cuda,CG,none,8,1,1.150151,1,614
GKO,cuda,CG,none,8,1,1.145051,1,614
GKO,cuda,CG,none,8,1,1.143506,1,614
GKO,cuda,CG,none,8,1,1.162214,1,614
GKO,cuda,CG,none,8,1,1.157072,1,614
GKO,cuda,CG,none,8,1,1.141247,1,614
GKO,cuda,CG,none,8,1,1.143739,1,614
GKO,cuda,BiCGStab,none,8,1,1.192473,1,425
GKO,cuda,BiCGStab,none,8,1,1.201132,1,425
GKO,cuda,BiCGStab,none,8,1,1.19168,1,425
GKO,cuda,BiCGStab,none,8,1,1.200936,1,425
GKO,cuda,BiCGStab,none,8,1,1.207385,1,425
GKO,cuda,BiCGStab,none,8,1,1.200913,1,425
GKO,cuda,BiCGStab,none,8,1,1.213787,1,425
GKO,cuda,BiCGStab,none,8,1,1.205355,1,425
GKO,cuda,BiCGStab,none,8,1,1.191769,1,425
GKO,cuda,BiCGStab,none,8,1,1.202927,1,425
GKO,cuda,BiCGStab,none,8,1,1.189463,1,425
GKO,cuda,BiCGStab,none,8,1,1.200043,1,425
GKO,cuda,BiCGStab,none,8,1,1.217729,1,425
GKO,cuda,BiCGStab,none,8,1,1.217731,1,425
GKO,cuda,BiCGStab,none,8,1,1.18899,1,425
GKO,cuda,BiCGStab,none,8,1,1.204451,1,425
GKO,cuda,BiCGStab,none,8,1,1.193613,1,425
GKO,cuda,BiCGStab,none,8,1,1.194627,1,425
GKO,cuda,BiCGStab,none,8,1,1.19387,1,425
GKO,cuda,BiCGStab,none,8,1,1.19179,1,425
GKO,cuda,BiCGStab,none,8,1,1.191457,1,425
GKO,cuda,BiCGStab,none,8,1,1.209565,1,425
GKO,cuda,BiCGStab,none,8,1,1.218909,1,425
GKO,cuda,BiCGStab,none,8,1,1.205237,1,425
GKO,cuda,BiCGStab,none,8,1,1.192081,1,425
GKO,cuda,BiCGStab,none,8,1,1.195939,1,425
GKO,cuda,BiCGStab,none,8,1,1.196949,1,425
GKO,cuda,BiCGStab,none,8,1,1.193854,1,425
GKO,cuda,BiCGStab,none,8,1,1.193648,1,425
GKO,cuda,BiCGStab,none,8,1,1.189303,1,425
GKO,cuda,BiCGStab,none,8,1,1.202926,1,425
GKO,cuda,BiCGStab,none,8,1,1.195623,1,425
GKO,cuda,BiCGStab,none,8,1,1.196342,1,425
GKO,cuda,BiCGStab,none,8,1,1.196206,1,425
GKO,cuda,BiCGStab,none,8,1,1.198758,1,425
GKO,cuda,BiCGStab,none,8,1,1.192949,1,425
GKO,cuda,BiCGStab,none,8,1,1.188916,1,425
GKO,cuda,BiCGStab,none,8,1,1.205104,1,425
GKO,cuda,BiCGStab,none,8,1,1.197712,1,425
GKO,cuda,BiCGStab,none,8,1,1.195744,1,425
GKO,cuda,BiCGStab,none,8,1,1.196967,1,425
GKO,cuda,BiCGStab,none,8,1,1.189517,1,425
GKO,cuda,BiCGStab,none,8,1,1.203403,1,425
GKO,cuda,BiCGStab,none,8,1,1.195547,1,425
GKO,cuda,BiCGStab,none,8,1,1.190242,1,425
GKO,cuda,BiCGStab,none,8,1,1.199374,1,425
GKO,cuda,BiCGStab,none,8,1,1.197059,1,425
GKO,cuda,BiCGStab,none,8,1,1.187392,1,425
GKO,cuda,BiCGStab,none,8,1,1.204034,1,425
GKO,cuda,BiCGStab,none,8,1,1.192563,1,425
GKO,cuda,BiCGStab,none,8,1,1.19035,1,425
GKO,cuda,CG,none,16,1,1.382719,1,1409
GKO,cuda,CG,none,16,1,1.42112,1,1409
GKO,cuda,CG,none,16,1,1.423719,1,1409
GKO,cuda,BiCGStab,none,32,1,3.127877,1,2100
