backend,executor,solver-p,solver-U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.201242,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.190011,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.18787,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.206574,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.196297,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.193288,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.187302,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.204684,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.218891,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.188202,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.18349,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.186321,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.194206,1,425
GKO,cuda,CG,BiCGStab,none,16,1,1.413817,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.411757,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.39954,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.43445,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.386048,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.393624,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.42457,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.399484,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.391858,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.396671,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.386581,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.401819,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.395939,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.414875,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.416799,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.408492,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.402589,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.414601,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.408082,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.416802,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.395134,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.391613,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.42864,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.418346,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.411328,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.410568,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.397179,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.4035,1,1409
