backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,16,1,1.363635,1,1409
GKO,cuda,CG,none,16,1,1.361883,1,1409
GKO,cuda,CG,none,16,1,1.361551,1,1409
GKO,cuda,CG,none,16,1,1.358781,1,1409
GKO,cuda,CG,none,16,1,1.362846,1,1409
GKO,cuda,CG,none,16,1,1.362437,1,1409
GKO,cuda,CG,none,16,1,1.367512,1,1409
GKO,cuda,CG,none,16,1,1.365193,1,1409
GKO,cuda,CG,none,16,1,1.360873,1,1409
GKO,cuda,CG,none,16,1,1.366765,1,1409
GKO,cuda,CG,none,16,1,1.361586,1,1409
GKO,cuda,CG,none,16,1,1.366561,1,1409
GKO,cuda,CG,none,16,1,1.357041,1,1409
GKO,cuda,CG,none,16,1,1.369653,1,1409
GKO,cuda,CG,none,16,1,1.383125,1,1409
GKO,cuda,CG,none,16,1,1.37245,1,1409
GKO,cuda,CG,none,16,1,1.359482,1,1409
GKO,cuda,CG,none,16,1,1.361028,1,1409
GKO,cuda,CG,none,16,1,1.366534,1,1409
GKO,cuda,CG,none,16,1,1.36216,1,1409
GKO,cuda,CG,none,16,1,1.371387,1,1409
GKO,cuda,CG,none,16,1,1.367989,1,1409
GKO,cuda,CG,none,16,1,1.367792,1,1409
GKO,cuda,CG,none,16,1,1.361772,1,1409
GKO,cuda,CG,none,16,1,1.364159,1,1409
GKO,cuda,CG,none,16,1,1.362962,1,1409
GKO,cuda,CG,none,16,1,1.372189,1,1409
GKO,cuda,CG,none,16,1,1.37465,1,1409
GKO,cuda,CG,none,16,1,1.370679,1,1409
GKO,cuda,CG,none,16,1,1.36604,1,1409
GKO,cuda,CG,none,16,1,1.369727,1,1409
GKO,cuda,CG,none,16,1,1.366136,1,1409
GKO,cuda,CG,none,16,1,1.370171,1,1409
GKO,cuda,CG,none,16,1,1.36469,1,1409
GKO,cuda,CG,none,16,1,1.359764,1,1409
GKO,cuda,CG,none,16,1,1.366659,1,1409
GKO,cuda,CG,none,16,1,1.376483,1,1409
GKO,cuda,CG,none,16,1,1.368672,1,1409
GKO,cuda,BiCGStab,none,16,1,1.566423,1,1059
GKO,cuda,BiCGStab,none,16,1,1.498356,1,1059
GKO,cuda,BiCGStab,none,16,1,1.510404,1,1059
GKO,cuda,BiCGStab,none,16,1,1.503033,1,1059
GKO,cuda,BiCGStab,none,16,1,1.50862,1,1059
GKO,cuda,BiCGStab,none,16,1,1.501995,1,1059
GKO,cuda,BiCGStab,none,16,1,1.505625,1,1059
GKO,cuda,BiCGStab,none,16,1,1.505075,1,1059
GKO,cuda,BiCGStab,none,16,1,1.501726,1,1059
GKO,cuda,BiCGStab,none,16,1,1.510915,1,1059
GKO,cuda,BiCGStab,none,16,1,1.508778,1,1059
GKO,cuda,BiCGStab,none,16,1,1.50266,1,1059
GKO,cuda,BiCGStab,none,16,1,1.499953,1,1059
GKO,cuda,BiCGStab,none,16,1,1.506422,1,1059
GKO,cuda,BiCGStab,none,16,1,1.50604,1,1059
GKO,cuda,BiCGStab,none,16,1,1.511573,1,1059
GKO,cuda,BiCGStab,none,16,1,1.505168,1,1059
GKO,cuda,BiCGStab,none,16,1,1.501357,1,1059
GKO,cuda,BiCGStab,none,16,1,1.514279,1,1059
GKO,cuda,BiCGStab,none,16,1,1.501641,1,1059
GKO,cuda,BiCGStab,none,16,1,1.502798,1,1059
GKO,cuda,BiCGStab,none,16,1,1.501097,1,1059
GKO,cuda,BiCGStab,none,16,1,1.507625,1,1059
GKO,cuda,BiCGStab,none,16,1,1.516903,1,1059
GKO,cuda,BiCGStab,none,16,1,1.509792,1,1059
GKO,cuda,BiCGStab,none,16,1,1.497077,1,1059
GKO,cuda,BiCGStab,none,16,1,1.513236,1,1059
GKO,cuda,BiCGStab,none,16,1,1.50438,1,1059
GKO,cuda,BiCGStab,none,16,1,1.499932,1,1059
GKO,cuda,BiCGStab,none,16,1,1.505873,1,1059
GKO,cuda,BiCGStab,none,16,1,1.506799,1,1059
GKO,cuda,BiCGStab,none,16,1,1.513271,1,1059
GKO,cuda,BiCGStab,none,16,1,1.507479,1,1059
GKO,cuda,BiCGStab,none,16,1,1.50493,1,1059
GKO,cuda,BiCGStab,none,16,1,1.512128,1,1059
GKO,cuda,BiCGStab,none,16,1,1.506627,1,1059
GKO,cuda,BiCGStab,none,16,1,1.507959,1,1059
GKO,cuda,BiCGStab,none,16,1,1.506452,1,1059
GKO,cuda,BiCGStab,none,16,1,1.499116,1,1059
GKO,cuda,BiCGStab,none,16,1,1.501535,1,1059
GKO,cuda,CG,none,32,1,2.937423,1,2926
GKO,cuda,CG,none,32,1,2.862982,1,2926
GKO,cuda,CG,none,32,1,2.861603,1,2926
GKO,cuda,CG,none,32,1,2.859756,1,2926
GKO,cuda,CG,none,32,1,2.875765,1,2926
GKO,cuda,CG,none,32,1,2.84457,1,2926
GKO,cuda,CG,none,32,1,2.854222,1,2926
GKO,cuda,CG,none,32,1,2.859729,1,2926
GKO,cuda,CG,none,32,1,2.855131,1,2926
GKO,cuda,CG,none,32,1,2.864044,1,2926
GKO,cuda,CG,none,32,1,2.8402,1,2926
GKO,cuda,CG,none,32,1,2.879124,1,2926
GKO,cuda,CG,none,32,1,2.868901,1,2926
GKO,cuda,CG,none,32,1,2.856792,1,2926
GKO,cuda,CG,none,32,1,2.839351,1,2926
GKO,cuda,CG,none,32,1,2.868044,1,2926
GKO,cuda,CG,none,32,1,2.866038,1,2926
GKO,cuda,CG,none,32,1,2.872833,1,2926
GKO,cuda,CG,none,32,1,2.838676,1,2926
GKO,cuda,CG,none,32,1,2.867577,1,2926
GKO,cuda,CG,none,32,1,2.86163,1,2926
GKO,cuda,BiCGStab,none,32,1,3.097189,1,2100
GKO,cuda,BiCGStab,none,32,1,3.090851,1,2100
GKO,cuda,BiCGStab,none,32,1,3.065868,1,2100
GKO,cuda,BiCGStab,none,32,1,3.089141,1,2100
GKO,cuda,BiCGStab,none,32,1,3.086293,1,2100
GKO,cuda,BiCGStab,none,32,1,3.096608,1,2100
GKO,cuda,BiCGStab,none,32,1,3.100944,1,2100
GKO,cuda,BiCGStab,none,32,1,3.095197,1,2100
GKO,cuda,BiCGStab,none,32,1,3.091496,1,2100
GKO,cuda,BiCGStab,none,32,1,3.108976,1,2100
GKO,cuda,BiCGStab,none,32,1,3.090523,1,2100
GKO,cuda,BiCGStab,none,32,1,3.081004,1,2100
GKO,cuda,BiCGStab,none,32,1,3.075038,1,2100
