backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.2409,1
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.237274,1
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.238565,1
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.2476,1
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.241329,1
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.244663,1
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.239596,1
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.240707,1
GKO,cuda,BiCGStab,BiCGStab,none,0,8,1,1.235017,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.429468,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.39406,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.379117,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.387455,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.381491,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.389112,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.371405,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.376835,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.378332,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.390084,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.375906,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.383782,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.385667,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.370552,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.380487,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.379581,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.382206,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.381297,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.382627,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.374858,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.375711,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.375942,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.378817,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.3696,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.378702,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.3781,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.379666,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.385217,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.392393,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.37091,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.378366,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.378152,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.376665,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.382003,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.372302,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.378762,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.378288,1
