backend,executor,solver-p,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,cuda,CG,none,0,8,1,1.143669,1
GKO,cuda,CG,none,0,8,1,1.06434,1
GKO,cuda,CG,none,0,8,1,1.065055,1
GKO,cuda,CG,none,0,8,1,1.063961,1
GKO,cuda,CG,none,0,8,1,1.067806,1
GKO,cuda,CG,none,0,8,1,1.064242,1
GKO,cuda,CG,none,0,8,1,1.062989,1
GKO,cuda,CG,none,0,8,1,1.067347,1
GKO,cuda,CG,none,0,8,1,1.061271,1
GKO,cuda,CG,none,0,8,1,1.063353,1
GKO,cuda,CG,none,0,8,1,1.061232,1
GKO,cuda,CG,none,0,8,1,1.06683,1
GKO,cuda,CG,none,0,8,1,1.063555,1
GKO,cuda,CG,none,0,8,1,1.059516,1
GKO,cuda,CG,none,0,8,1,1.049706,1
GKO,cuda,CG,none,0,8,1,1.068401,1
GKO,cuda,CG,none,0,8,1,1.058072,1
GKO,cuda,CG,none,0,8,1,1.078207,1
GKO,cuda,CG,none,0,8,1,1.061148,1
GKO,cuda,CG,none,0,8,1,1.059065,1
GKO,cuda,CG,none,0,8,1,1.059561,1
GKO,cuda,CG,none,0,8,1,1.074011,1
GKO,cuda,CG,none,0,8,1,1.064969,1
GKO,cuda,CG,none,0,8,1,1.075553,1
GKO,cuda,CG,none,0,8,1,1.068247,1
GKO,cuda,CG,none,0,8,1,1.06912,1
GKO,cuda,CG,none,0,8,1,1.061339,1
GKO,cuda,CG,none,0,8,1,1.065002,1
GKO,cuda,CG,none,0,8,1,1.064378,1
GKO,cuda,CG,none,0,8,1,1.066382,1
GKO,cuda,CG,none,0,8,1,1.067382,1
GKO,cuda,CG,none,0,8,1,1.064037,1
GKO,cuda,CG,none,0,8,1,1.056275,1
GKO,cuda,CG,none,0,8,1,1.064041,1
GKO,cuda,CG,none,0,8,1,1.067552,1
GKO,cuda,CG,none,0,8,1,1.061534,1
GKO,cuda,CG,none,0,8,1,1.069691,1
GKO,cuda,CG,none,0,8,1,1.08012,1
GKO,cuda,CG,none,0,8,1,1.068625,1
GKO,cuda,CG,none,0,8,1,1.064931,1
GKO,cuda,CG,none,0,8,1,1.070723,1
GKO,cuda,CG,none,0,8,1,1.063307,1
GKO,cuda,CG,none,0,8,1,1.06054,1
GKO,cuda,CG,none,0,8,1,1.063007,1
GKO,cuda,CG,none,0,8,1,1.063252,1
GKO,cuda,CG,none,0,8,1,1.067717,1
GKO,cuda,CG,none,0,8,1,1.05648,1
GKO,cuda,CG,none,0,8,1,1.064803,1
GKO,cuda,CG,none,0,8,1,1.067635,1
GKO,cuda,CG,none,0,8,1,1.063277,1
GKO,cuda,CG,none,0,8,1,1.063949,1
GKO,cuda,CG,none,0,8,1,1.061349,1
GKO,cuda,CG,none,0,8,1,1.066218,1
GKO,cuda,CG,none,0,8,1,1.064704,1
GKO,cuda,CG,none,0,8,1,1.067641,1
GKO,cuda,CG,none,0,8,1,1.11237,1
GKO,cuda,CG,none,0,8,1,1.062369,1
GKO,cuda,BiCGStab,none,0,8,1,1.097793,1
GKO,cuda,BiCGStab,none,0,8,1,1.11485,1
GKO,cuda,BiCGStab,none,0,8,1,1.088036,1
GKO,cuda,BiCGStab,none,0,8,1,1.092461,1
GKO,cuda,BiCGStab,none,0,8,1,1.099003,1
GKO,cuda,BiCGStab,none,0,8,1,1.093496,1
GKO,cuda,BiCGStab,none,0,8,1,1.086389,1
GKO,cuda,BiCGStab,none,0,8,1,1.086299,1
GKO,cuda,BiCGStab,none,0,8,1,1.083525,1
GKO,cuda,BiCGStab,none,0,8,1,1.087362,1
GKO,cuda,BiCGStab,none,0,8,1,1.087933,1
GKO,cuda,BiCGStab,none,0,8,1,1.084143,1
GKO,cuda,BiCGStab,none,0,8,1,1.090654,1
GKO,cuda,BiCGStab,none,0,8,1,1.088127,1
GKO,cuda,BiCGStab,none,0,8,1,1.090172,1
GKO,cuda,BiCGStab,none,0,8,1,1.093386,1
GKO,cuda,BiCGStab,none,0,8,1,1.092226,1
GKO,cuda,BiCGStab,none,0,8,1,1.095566,1
GKO,cuda,BiCGStab,none,0,8,1,1.144992,1
GKO,cuda,BiCGStab,none,0,8,1,1.094288,1
GKO,cuda,BiCGStab,none,0,8,1,1.089429,1
GKO,cuda,BiCGStab,none,0,8,1,1.09144,1
GKO,cuda,BiCGStab,none,0,8,1,1.089296,1
GKO,cuda,BiCGStab,none,0,8,1,1.093501,1
GKO,cuda,BiCGStab,none,0,8,1,1.092831,1
GKO,cuda,BiCGStab,none,0,8,1,1.098376,1
GKO,cuda,BiCGStab,none,0,8,1,1.087167,1
GKO,cuda,BiCGStab,none,0,8,1,1.089413,1
GKO,cuda,BiCGStab,none,0,8,1,1.142097,1
GKO,cuda,BiCGStab,none,0,8,1,1.091553,1
GKO,cuda,BiCGStab,none,0,8,1,1.089762,1
GKO,cuda,BiCGStab,none,0,8,1,1.095156,1
GKO,cuda,BiCGStab,none,0,8,1,1.086351,1
GKO,cuda,BiCGStab,none,0,8,1,1.08117,1
GKO,cuda,BiCGStab,none,0,8,1,1.078426,1
GKO,cuda,BiCGStab,none,0,8,1,1.093205,1
GKO,cuda,BiCGStab,none,0,8,1,1.093817,1
